2010/05/25 18:07, P03, Task01,,
2010/05/26 13:49, Driver, Five,,
2010/05/26 13:49, Driver, Five,,
2010/05/26 13:49, System, Sorry, your number 0 0 7 7 4 4 4 5 5 5 5  is  is not valid . Cancelling the command...,
2010/05/26 13:49, Driver, Zero,,
2010/05/26 13:49, Driver, Seven,,
2010/05/26 13:49, Driver, <Button> Call,,
2010/05/26 13:49, Driver, Call,,
2010/05/26 13:49, Driver, Zero,,
2010/05/26 13:49, Driver, Seven,,
2010/05/26 13:49, Driver, Say time,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, System, Sorry, your number 0 7 4 4 4 5 5 5 5  is  too short . Cancelling the command...,
2010/05/26 13:50, Driver, <Button> Call,,
2010/05/26 13:50, Driver, Call,,
2010/05/26 13:50, Driver, Zero,,
2010/05/26 13:50, Driver, Seven,,
2010/05/26 13:50, Driver, Seven,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Four,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, Driver, Five,,
2010/05/26 13:50, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 13:50, Driver, Yes,,
2010/05/26 13:50, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 13:51, System, Dialling 0 7 7 4 4 4 5 5 5 5 ,,
2010/05/26 13:51, System, Please, go to the next task,
2010/05/26 13:51, Driver, <Button> Call,,
2010/05/26 13:51, Driver, Call,,
2010/05/26 13:51, Driver, Zero,,
2010/05/26 13:51, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 13:51, Driver, <Button> Call,,
2010/05/26 13:51, Driver, Call,,
2010/05/26 13:51, Driver, Zero,,
2010/05/26 13:51, Driver, Seven,,
2010/05/26 13:51, Driver, Two,,
2010/05/26 13:51, Driver, Two,,
2010/05/26 13:51, Driver, Two,,
2010/05/26 13:51, Driver, Two,,
2010/05/26 13:51, Driver, Three,,
2010/05/26 13:51, Driver, Three,,
2010/05/26 13:51, Driver, Three,,
2010/05/26 13:51, Driver, Three,,
2010/05/26 13:51, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 13:52, Driver, Yes,,
2010/05/26 13:52, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 13:52, System, Dialling 0 7 2 2 2 2 3 3 3 3 ,,
2010/05/26 13:52, System, Please, go to the next task,
2010/05/26 13:52, Driver, <Button> Call,,
2010/05/26 13:52, Driver, O,,
2010/05/26 13:52, Driver, Eight,,
2010/05/26 13:52, System, Sorry, your number 0  is  too short . Cancelling the command...,
2010/05/26 13:52, Driver, <Button> Call,,
2010/05/26 13:52, Driver, Call,,
2010/05/26 13:52, Driver, Eight,,
2010/05/26 13:52, Driver, Eight,,
2010/05/26 13:52, Driver, Eight,,
2010/05/26 13:52, Driver, One,,
2010/05/26 13:53, Driver, One,,
2010/05/26 13:53, Driver, One,,
2010/05/26 13:53, Driver, Six,,
2010/05/26 13:53, Driver, Six,,
2010/05/26 13:53, Driver, Felix,,
2010/05/26 13:53, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 13:53, Driver, Cancel,,
2010/05/26 13:53, System, Cancelling...,,
2010/05/26 13:53, Driver, <Button> Call,,
2010/05/26 13:53, Driver, Call,,
2010/05/26 13:53, Driver, triple eight,,
2010/05/26 13:53, Driver, double one,,
2010/05/26 13:53, Driver, Six,,
2010/05/26 13:53, Driver, triple six,,
2010/05/26 13:53, System, Sorry, your number 8 8 8 1 1 6 6 6 6  is  too short . Cancelling the command...,
2010/05/26 13:54, Driver, <Button> Call,,
2010/05/26 13:54, Driver, Call,,
2010/05/26 13:54, Driver, Zero,,
2010/05/26 13:54, Driver, Seven,,
2010/05/26 13:54, Driver, Seven,,
2010/05/26 13:54, Driver, Six,,
2010/05/26 13:54, Driver, Six,,
2010/05/26 13:54, Driver, Six,,
2010/05/26 13:54, Driver, Two,,
2010/05/26 13:54, Driver, Two,,
2010/05/26 13:54, Driver, Five,,
2010/05/26 13:54, Driver, Five,,
2010/05/26 13:54, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 13:54, Driver, Yes,,
2010/05/26 13:54, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 13:54, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 13:55, System, Please, go to the next task,
2010/05/26 13:55, Driver, <Button> Call,,
2010/05/26 13:55, Driver, Redial,,
2010/05/26 13:55, Driver, Redial,,
2010/05/26 13:55, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 13:55, Driver, Redial,,
2010/05/26 13:55, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 13:55, Driver, Yes,,
2010/05/26 13:55, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 13:55, System, Please, go to the next task,
2010/05/26 13:56, Driver, Call Meredith,,
2010/05/26 13:56, System, Do you want to call Meredith. Say 'Yes' or 'No',,
2010/05/26 13:56, Driver, Yes,,
2010/05/26 13:56, System, Sorry, Meredith number has not been found,
2010/05/26 13:56, Driver, Callback,,
2010/05/26 13:56, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 13:56, Driver, Yes,,
2010/05/26 13:56, System, Calling John Doe,,
2010/05/26 13:56, System, Please, go to the next task,
2010/05/26 13:57, Driver, Send message to Patrick,,
2010/05/26 13:57, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 13:57, Driver, Yes,,
2010/05/26 13:57, System, Choose between the following options,,
2010/05/26 13:57, System, 1- I am running late,,
2010/05/26 13:57, System, 2- Appointment postponed,,
2010/05/26 13:57, System, 3- I will call you later,,
2010/05/26 13:57, Driver, One,,
2010/05/26 13:57, System, Sending the text message 1- I am running late,,
2010/05/26 13:57, System, Please, go to the next task,
2010/05/26 13:57, Driver, Sms Andre,,
2010/05/26 13:57, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 13:57, Driver, Yes,,
2010/05/26 13:57, System, Choose between the following options,,
2010/05/26 13:57, System, 1- I am running late,,
2010/05/26 13:58, System, 2- Appointment postponed,,
2010/05/26 13:58, System, 3- I will call you later,,
2010/05/26 13:58, Driver, Three,,
2010/05/26 13:58, System, Sending the text message 3- I will call you later,,
2010/05/26 13:58, System, Please, go to the next task,
2010/05/26 13:58, System, Thank you for your participation. Please, fill in the questionnaire.,
2010/05/26 15:12, TEST, Task01,,
2010/05/26 15:12, Driver, What time is it?,,
2010/05/26 15:12, System, the time is 3  12,,
2010/05/26 15:12, System, the time is 3  12,,
2010/05/26 15:12, Driver, Repeat,,
2010/05/26 15:13, Driver, Cancel,,
2010/05/26 15:13, System, Cancelling...,,
2010/05/26 15:13, Driver, Restart,,
2010/05/26 15:13, System, Cancelling...,,
2010/05/26 15:13, Driver, Reset,,
2010/05/26 15:13, System, Cancelling...,,
,,,,
2010/05/26 15:13, P09, Task01,,
2010/05/26 15:13, Driver, Call Patrick,,
2010/05/26 15:13, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 15:13, Driver, Yes,,
2010/05/26 15:13, System, Calling Patrick on 0768354159,,
2010/05/26 15:13, System, Please, go to the next task,
2010/05/26 15:14, Driver, Dial Felix,,
2010/05/26 15:14, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 15:14, Driver, Yes,,
2010/05/26 15:14, System, Calling Felix on 0789954545,,
2010/05/26 15:14, System, Please, go to the next task,
2010/05/26 15:14, Driver, <Button> Call,,
2010/05/26 15:14, Driver, Eight,,
2010/05/26 15:14, System, Sorry, your number 8  is  too short . Cancelling the command...,
2010/05/26 15:14, Driver, <Button> Call,,
2010/05/26 15:14, Driver, Janet,,
2010/05/26 15:14, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 15:15, Driver, Yes,,
2010/05/26 15:15, System, Calling Janet on 0827743624,,
2010/05/26 15:15, System, Please, go to the next task,
2010/05/26 15:15, Driver, <Button> Call,,
2010/05/26 15:15, Driver, Dial,,
2010/05/26 15:15, Driver, Call Simone,,
2010/05/26 15:15, System, Do you want to call Simone. Say 'Yes' or 'No',,
2010/05/26 15:16, Driver, Cancel,,
2010/05/26 15:16, System, Cancelling...,,
2010/05/26 15:16, Driver, <Button> Call,,
2010/05/26 15:16, Driver, Call,,
2010/05/26 15:16, Driver, Zero,,
2010/05/26 15:16, Driver, Seven,,
2010/05/26 15:16, Driver, Seven,,
2010/05/26 15:16, Driver, Four,,
2010/05/26 15:16, Driver, Four,,
2010/05/26 15:16, Driver, Four,,
2010/05/26 15:16, Driver, Five,,
2010/05/26 15:16, Driver, Five,,
2010/05/26 15:16, Driver, Five,,
2010/05/26 15:16, Driver, Five,,
2010/05/26 15:16, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 15:16, Driver, Yes,,
2010/05/26 15:16, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 15:16, System, Dialling 0 7 7 4 4 4 5 5 5 5 ,,
2010/05/26 15:16, System, Please, go to the next task,
2010/05/26 15:17, Driver, <Button> Call,,
2010/05/26 15:17, Driver, Call,,
2010/05/26 15:17, Driver, Zero,,
2010/05/26 15:17, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 15:17, Driver, Cancel,,
2010/05/26 15:17, System, Cancelling...,,
2010/05/26 15:17, Driver, <Button> Call,,
2010/05/26 15:17, Driver, Cancel,,
2010/05/26 15:17, System, Cancelling...,,
2010/05/26 15:17, Driver, <Button> Call,,
2010/05/26 15:17, Driver, Dial,,
2010/05/26 15:17, Driver, Zero,,
2010/05/26 15:17, Driver, Seven,,
2010/05/26 15:17, Driver, Two,,
2010/05/26 15:17, Driver, triple two,,
2010/05/26 15:17, Driver, double three,,
2010/05/26 15:17, Driver, double three,,
2010/05/26 15:17, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 15:17, Driver, Yes,,
2010/05/26 15:17, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 15:18, System, Dialling 0 7 2 2 2 2 3 3 3 3 ,,
2010/05/26 15:18, System, Please, go to the next task,
2010/05/26 15:18, Driver, <Button> Call,,
2010/05/26 15:18, Driver, triple eight,,
2010/05/26 15:18, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 15:18, Driver, <Button> Call,,
2010/05/26 15:18, Driver, triple eight,,
2010/05/26 15:18, Driver, double one,,
2010/05/26 15:19, Driver, Six,,
2010/05/26 15:19, Driver, triple six,,
2010/05/26 15:19, System, Sorry, your number 8 8 8 1 1 6 6 6 6  is  too short . Cancelling the command...,
2010/05/26 15:19, Driver, <Button> Call,,
2010/05/26 15:19, Driver, Zero,,
2010/05/26 15:19, Driver, double seven,,
2010/05/26 15:19, Driver, triple six,,
2010/05/26 15:19, Driver, double two,,
2010/05/26 15:19, Driver, double five,,
2010/05/26 15:19, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 15:19, Driver, Yes,,
2010/05/26 15:19, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 15:19, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 15:20, System, Please, go to the next task,
2010/05/26 15:20, Driver, <Button> Call,,
2010/05/26 15:20, Driver, Redial,,
2010/05/26 15:20, Driver, Cancel,,
2010/05/26 15:20, System, Cancelling...,,
2010/05/26 15:20, Driver, Redial,,
2010/05/26 15:20, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 15:20, Driver, Yes,,
2010/05/26 15:20, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 15:20, System, Please, go to the next task,
2010/05/26 15:20, Driver, Callback,,
2010/05/26 15:20, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 15:20, Driver, Yes,,
2010/05/26 15:20, System, Calling John Doe,,
2010/05/26 15:21, System, Please, go to the next task,
2010/05/26 15:21, Driver, Send message to dieter,,
2010/05/26 15:21, System, Do you want to  send a text message to dieter. Say 'Yes' or 'No',,
2010/05/26 15:21, Driver, No,,
2010/05/26 15:21, System, Cancelling the message request.,,
2010/05/26 15:21, Driver, Send message to Patrick,,
2010/05/26 15:21, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 15:21, Driver, Yes,,
2010/05/26 15:21, System, Choose between the following options,,
2010/05/26 15:21, System, 1- I am running late,,
2010/05/26 15:21, System, 2- Appointment postponed,,
2010/05/26 15:21, System, 3- I will call you later,,
2010/05/26 15:22, Driver, One,,
2010/05/26 15:22, System, Sending the text message 1- I am running late,,
2010/05/26 15:22, System, Please, go to the next task,
2010/05/26 15:22, Driver, Sms Andre,,
2010/05/26 15:22, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 15:22, Driver, Yes,,
2010/05/26 15:22, System, Choose between the following options,,
2010/05/26 15:22, System, 1- I am running late,,
2010/05/26 15:22, System, 2- Appointment postponed,,
2010/05/26 15:22, System, 3- I will call you later,,
2010/05/26 15:22, Driver, Three,,
2010/05/26 15:22, System, Sending the text message 3- I will call you later,,
2010/05/26 15:22, System, Please, go to the next task,
2010/05/26 15:22, System, Thank you for your participation. Please, fill in the questionnaire.,
2010/05/26 15:46, TEST, Task01,,
2010/05/26 15:46, Driver, What time is it?,,
2010/05/26 15:46, System, the time is 3  46,,
2010/05/26 15:47, System, the time is 3  46,,
2010/05/26 15:47, Driver, Repeat,,
2010/05/26 15:47, Driver, Call Patrick,,
2010/05/26 15:47, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 15:47, Driver, Cancel,,
2010/05/26 15:47, System, Cancelling...,,
2010/05/26 15:47, Driver, Zero,,
2010/05/26 15:47, Driver, Zero,,
2010/05/26 15:48, Driver, Six,,
,,,,
2010/05/26 15:48, P10, Task01,,
2010/05/26 15:48, Driver, Call Patrick,,
2010/05/26 15:48, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 15:48, Driver, Yeah,,
2010/05/26 15:48, System, Calling Patrick on 0768354159,,
2010/05/26 15:49, System, Please, go to the next task,
2010/05/26 15:49, Driver, Dial Felix,,
2010/05/26 15:49, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 15:49, Driver, Yes,,
2010/05/26 15:49, System, Calling Felix on 0789954545,,
2010/05/26 15:49, System, Please, go to the next task,
2010/05/26 15:50, Driver, <Button> Call,,
2010/05/26 15:50, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 15:50, Driver, <Button> Call,,
2010/05/26 15:50, Driver, Janet,,
2010/05/26 15:50, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 15:50, Driver, Yeah,,
2010/05/26 15:50, System, Calling Janet on 0827743624,,
2010/05/26 15:50, System, Please, go to the next task,
2010/05/26 15:50, Driver, <Button> Call,,
2010/05/26 15:50, Driver, Call,,
2010/05/26 15:50, Driver, O,,
2010/05/26 15:51, Driver, Say time,,Seven
2010/05/26 15:51, Driver, Zero,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Five,,
2010/05/26 15:51, Driver, Five,,
2010/05/26 15:51, Driver, Five,,
2010/05/26 15:51, Driver, Five,,
2010/05/26 15:51, System, Sorry, your number 0 0 4 4 4 5 5 5 5  is  too short . Cancelling the command...,
2010/05/26 15:51, Driver, <Button> Call,,
2010/05/26 15:51, Driver, Call,,
2010/05/26 15:51, Driver, Zero,,
2010/05/26 15:51, Driver, Seven,,
2010/05/26 15:51, Driver, Seven,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Four,,
2010/05/26 15:51, Driver, Five,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, Driver, Dial,Five,
2010/05/26 15:52, System, Sorry, your number 0 7 7 4 4 4 5 5 5  is  too short . Cancelling the command...,
2010/05/26 15:52, Driver, <Button> Call,,
2010/05/26 15:52, Driver, Call,,
2010/05/26 15:52, Driver, Zero,,
2010/05/26 15:52, Driver, Seven,,
2010/05/26 15:52, Driver, Say time,,
2010/05/26 15:52, Driver, Four,,
2010/05/26 15:52, Driver, Four,,
2010/05/26 15:52, Driver, Four,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, Driver, Five,,
2010/05/26 15:52, System, Sorry, your number 0 7 4 4 4 5 5 5 5  is  too short . Cancelling the command...,
2010/05/26 15:53, Driver, Four,,
2010/05/26 15:53, Driver, O,,
2010/05/26 15:53, Driver, Zero,,
2010/05/26 15:53, Driver, Two,,
2010/05/26 15:53, Driver, triple two,,
2010/05/26 15:53, Driver, double three,,
2010/05/26 15:53, Driver, double three,,
2010/05/26 15:54, Driver, <Button> Call,,
2010/05/26 15:54, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 15:54, Driver, Four,,
2010/05/26 15:54, Driver, <Button> Call,,
2010/05/26 15:54, Driver, Call,,
2010/05/26 15:54, Driver, Zero,,
2010/05/26 15:54, Driver, Say time,,
2010/05/26 15:54, Driver, Two,,
2010/05/26 15:54, Driver, triple two,,
2010/05/26 15:54, Driver, double three,,
2010/05/26 15:54, Driver, double three,,
2010/05/26 15:54, System, Sorry, your number 0 2 2 2 2 3 3 3 3  is  too short . Cancelling the command...,
2010/05/26 15:55, Driver, <Button> Call,,
2010/05/26 15:55, Driver, Call,,
2010/05/26 15:55, Driver, Zero,,
2010/05/26 15:55, Driver, Say time,,
2010/05/26 15:55, Driver, Two,,
2010/05/26 15:55, Driver, double two,,
2010/05/26 15:55, Driver, double three,,
2010/05/26 15:55, Driver, double three,,
2010/05/26 15:55, System, Sorry, your number 0 2 2 2 3 3 3 3  is  too short . Cancelling the command...,
2010/05/26 15:56, Driver, <Button> Call,,
2010/05/26 15:56, Driver, Call,,
2010/05/26 15:56, Driver, triple eight,,
2010/05/26 15:56, Driver, double one,,
2010/05/26 15:56, Driver, Six,,
2010/05/26 15:56, Driver, double six,,
2010/05/26 15:56, System, Sorry, your number 8 8 8 1 1 6 6 6  is  too short . Cancelling the command...,
2010/05/26 15:57, Driver, One,,
2010/05/26 15:57, System, Sorry, your number 8 8 8 1 1 6 6 6  is  too short . Cancelling the command...,
2010/05/26 15:57, Driver, Repeat,,
2010/05/26 15:57, Driver, <Button> Call,,
2010/05/26 15:57, Driver, Call,,
2010/05/26 15:57, Driver, triple eight,,
2010/05/26 15:57, Driver, triple one,,
2010/05/26 15:57, Driver, Send,,Six
2010/05/26 15:57, Driver, triple six,,
2010/05/26 15:57, System, Sorry, your number 8 8 8 1 1 1 6 6 6  is  too short . Cancelling the command...,
2010/05/26 15:57, Driver, <Button> Call,,
2010/05/26 15:57, Driver, Call,,
2010/05/26 15:58, Driver, triple eight,,
2010/05/26 15:58, Driver, triple one,,
2010/05/26 15:58, Driver, Six,,
2010/05/26 15:58, Driver, Six,,
2010/05/26 15:58, Driver, Call,,
2010/05/26 15:58, System, Sorry, your number 8 8 8 1 1 1 6 6  is  too short . Cancelling the command...,
2010/05/26 15:58, Driver, <Button> Call,,
2010/05/26 15:58, Driver, Call,,
2010/05/26 15:58, Driver, triple eight,,
2010/05/26 15:59, Driver, One,,
2010/05/26 15:59, Driver, Zero,,
2010/05/26 15:59, Driver, Redial,,
2010/05/26 15:59, Driver, Four,,
2010/05/26 15:59, Driver, Five,,
2010/05/26 15:59, Driver, Six,,
2010/05/26 15:59, Driver, Say time,,
2010/05/26 15:59, System, Sorry, your number 8 8 8 1 0 4 5 6  is  too short . Cancelling the command...,
2010/05/26 16:00, Driver, <Button> Call,,
2010/05/26 16:00, Driver, Zero,,
2010/05/26 16:00, Driver, double seven,,
2010/05/26 16:00, Driver, triple six,,
2010/05/26 16:00, Driver, double two,,
2010/05/26 16:00, Driver, double five,,
2010/05/26 16:00, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 16:00, Driver, Yes,,
2010/05/26 16:00, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 16:00, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 16:00, System, Please, go to the next task,
2010/05/26 16:00, Driver, <Button> Call,,
2010/05/26 16:00, Driver, Redial,,
2010/05/26 16:01, Driver, Redial,,
2010/05/26 16:01, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 16:01, Driver, Redial,,
2010/05/26 16:01, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 16:01, Driver, Yes,,
2010/05/26 16:01, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 16:01, System, Please, go to the next task,
2010/05/26 16:02, Driver, Callback,,
2010/05/26 16:02, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 16:02, Driver, Yes,,
2010/05/26 16:02, System, Calling John Doe,,
2010/05/26 16:02, System, Please, go to the next task,
2010/05/26 16:02, Driver, Send message to Patrick,,
2010/05/26 16:02, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 16:02, Driver, Yes,,
2010/05/26 16:02, System, Choose between the following options,,
2010/05/26 16:02, System, 1- I am running late,,
2010/05/26 16:02, System, 2- Appointment postponed,,
2010/05/26 16:03, System, 3- I will call you later,,
2010/05/26 16:03, Driver, One,,
2010/05/26 16:03, System, Sending the text message 1- I am running late,,
2010/05/26 16:03, System, Please, go to the next task,
2010/05/26 16:03, Driver, Sms Andre,,
2010/05/26 16:03, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 16:03, Driver, Yes,,
2010/05/26 16:03, System, Choose between the following options,,
2010/05/26 16:03, System, 1- I am running late,,
2010/05/26 16:03, System, 2- Appointment postponed,,
2010/05/26 16:03, System, 3- I will call you later,,
2010/05/26 16:03, Driver, Three,,
2010/05/26 16:03, System, Sending the text message 3- I will call you later,,
2010/05/26 16:03, System, Please, go to the next task,
2010/05/26 16:04, System, Thank you for your participation. Please, fill in the questionnaire.,
2010/05/26 17:48, TEST, Task01,,
2010/05/26 17:48, Driver, <Button> Call,,
2010/05/26 17:48, Driver, Call,,
2010/05/26 17:48, Driver, Zero,,
2010/05/26 17:48, Driver, One,,
2010/05/26 17:48, Driver, Call,,
2010/05/26 17:48, System, Sorry, your number 0 1  is  too short . Cancelling the command...,
2010/05/26 17:49, TEST, Task01,,
2010/05/26 17:49, Driver, <Button> Call,,
2010/05/26 17:49, Driver, Call,,
2010/05/26 17:49, Driver, Zero,,
2010/05/26 17:49, Driver, One,,
2010/05/26 17:49, Driver, Call,,
2010/05/26 17:49, System, Sorry, your number 0 1  is  too short . Cancelling the command...,
2010/05/26 17:49, Driver, <Button> Call,,
2010/05/26 17:49, Driver, Call,,
2010/05/26 17:49, Driver, Zero,,
2010/05/26 17:49, Driver, One,,
2010/05/26 17:49, Driver, One,,
2010/05/26 17:49, Driver, Three,,
2010/05/26 17:49, Driver, Four,,
2010/05/26 17:49, Driver, Five,,
2010/05/26 17:49, Driver, Six,,
2010/05/26 17:49, Driver, Seven,,
2010/05/26 17:49, Driver, Eight,,
2010/05/26 17:49, Driver, Nine,,
2010/05/26 17:50, Driver, Call,,
2010/05/26 17:50, System, Do you want to dial 0 1 1 3 4 5 6 7 8 9 . Say 'Yes' or 'No',,
2010/05/26 17:50, Driver, Yes,,
2010/05/26 17:50, System, Do you want to dial 0 1 1 3 4 5 6 7 8 9 . Say 'Yes' or 'No',,
2010/05/26 17:50, System, Dialling 0 1 1 3 4 5 6 7 8 9 ,,
2010/05/26 17:50, System, Please, go to the next task,
2010/05/26 17:51, TEST, Task01,,
2010/05/26 17:51, Driver, <Button> Call,,
2010/05/26 17:51, Driver, Call,,
2010/05/26 17:51, Driver, Zero,,
2010/05/26 17:51, Driver, triple one,,
2010/05/26 17:51, Driver, double four,,
2010/05/26 17:51, Driver, double four,,
2010/05/26 17:52, Driver, One,,
2010/05/26 17:52, Driver, Call,,
2010/05/26 17:52, System, Sorry, your number 0 1 1 1 4 4 4 4 1  is  too short . Cancelling the command...,
2010/05/26 17:52, Driver, <Button> Call,,
2010/05/26 17:52, Driver, Call,,
2010/05/26 17:52, Driver, Zero,,
2010/05/26 17:52, Driver, double eight,,
2010/05/26 17:52, Driver, triple one,,
2010/05/26 17:52, Driver, Seven,,
2010/05/26 17:52, Driver, Seven,,
2010/05/26 17:52, Driver, Call,,
2010/05/26 17:52, System, Sorry, your number 0 8 8 1 1 1 7 7  is  too short . Cancelling the command...,
2010/05/26 17:52, Driver, <Button> Call,,
2010/05/26 17:52, Driver, Call,,
2010/05/26 17:52, Driver, Zero,,
2010/05/26 17:52, Driver, double eight,,
2010/05/26 17:52, Driver, double one,,
2010/05/26 17:52, Driver, One,,
2010/05/26 17:53, Driver, Seven,,
2010/05/26 17:53, Driver, double one,,
2010/05/26 17:53, Driver, Call,,
2010/05/26 17:53, System, Sorry, your number 0 8 8 1 1 1 7 1 1  is  too short . Cancelling the command...,
2010/05/26 17:53, Driver, <Button> Call,,
2010/05/26 17:53, Driver, Call,,
2010/05/26 17:53, Driver, Zero,,
2010/05/26 17:53, Driver, double eight,,
2010/05/26 17:53, Driver, triple eight,,
2010/05/26 17:53, Driver, double eight,,
2010/05/26 17:53, Driver, double eight,,
2010/05/26 17:53, Driver, Call,,
2010/05/26 17:53, System, Do you want to dial 0 8 8 8 8 8 8 8 8 8 . Say 'Yes' or 'No',,
2010/05/26 17:54, Driver, Yes,,
2010/05/26 17:54, Driver, Yes,,
2010/05/26 17:54, Driver, No,,
2010/05/26 17:54, System, Do you want to dial 0 8 8 8 8 8 8 8 8 8 . Say 'Yes' or 'No',,
2010/05/26 17:55, System, Dialling 0 8 8 8 8 8 8 8 8 8 ,,
2010/05/26 17:55, System, Please, go to the next task,
,,,,
2010/05/27 03:41, TEST, Task01,,
2010/05/27 03:41, Driver, <Button> Call,,
2010/05/27 03:41, Driver, Call,,
2010/05/27 03:41, Driver, Call Patrick,,
2010/05/27 03:41, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/27 03:41, Driver, Yes,,
2010/05/27 03:41, System, Calling Patrick on 0768354159,,
2010/05/27 03:41, System, Please, go to the next task,
,,,,
2010/05/27 15:03, TEST, Task01,,
,,,,
2010/05/27 21:12, P12, Task01,,
09:12:19 PM, Driver, Call Patrick,,
09:12:19 PM, System, Do you want to call Patrick. Say 'Yes' or 'No',,
09:12:25 PM, Driver, Yes,,
09:12:25 PM, System, Calling Patrick on 0768354159,,
09:12:31 PM, System, Please, go to the next task,
